StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22,Q23,Q24_1,Q24_2,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29,Q30
2019-01-22 05:56:30,2019-01-22 06:04:56,IP Address,202.45.119.143,100,506,True,2019-01-22 06:04:57,R_9G0XcJ6wBMqoxA5,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",great to look live and take on feedback. the adaptive verses technical and the take home 'we tend to treat adaptive challenges as technical challenges',it was a big day yesterday to then have homework. i was not clear on the cheat sheet task.,I found the video to be somewhat helpful,"Completely
Satisfied","Moderately
Satisfied",understanding the use role and purpose of data really really important and the discussion about how to take this home,there were some technical issues but you get that,"Moderately
Satisfied",we got to engage in a school instance with the material and that is great,it was a heavy agenda and we probably needed a bit more time for pre work in this session,,,,,"Completely
Satisfied","Completely
Satisfied",well done Duncan - thats huge to have your school out there. this session was great to look at data that you could interpret that you did not have an emptional investment on,,"Completely
Satisfied","Completely
Satisfied",this was powerful,,,,,,Very Well,Somewhat,Very Well,Very Well,Somewhat,Somewhat,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Strongly Agree
2019-01-22 05:56:42,2019-01-22 06:05:04,IP Address,202.45.119.143,100,501,True,2019-01-22 06:05:04,R_2dgtxs1oRaDOyUG,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,Neutral,Neutral,"Sorry, I missed this session due to being late.",I need to be be on time - read the schedule and not make assumptions about start times.,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",Poster work in groups.  Opportunities to discuss other's posters and to hear their feedback on our own work.,Hard to know what's was going on in the foyer area.  Wold it be possible to have the camera and microphone feed displayed through the IWB in the foyer during these sessions?,"Moderately
Satisfied"," We have definitely developed a stronger understanding of what responsible assessment looks like.  Plenty of time to talk as a team was appreciated.",We were a little unprepared as the data we had collected and brought wasn't as helpful as we had hoped it would be.,,,,,"Completely
Satisfied","Completely
Satisfied","I found the debates leading to the creation of our poster invigorating!  Also, the opportunity to look at other's work and to hear their feedback on our own work.","Another go at our graph please!  Looking back after, we realised that we had not used scale correctly and a slightly different approach would have made our story a lot clearer.","Completely
Satisfied","Completely
Satisfied",Lots of support from our TF helped us to talk through our situation and get a better understanding of where to from here for our school.  Plenty of time to work together as a team to get ready for when we get back to school.,Be more prepared.  The data we had wasn't as helpful as we would have liked around our particular area of focus.,,,,,Very Well,Very Well,Very Well,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:57:41,2019-01-22 06:05:53,IP Address,202.45.119.143,100,492,True,2019-01-22 06:05:53,R_3quj0emVAhaek6d,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,System Team,"Completely
Satisfied","Completely
Satisfied",,we were informed that we needed to watch the video.,I did not watch the video,"Completely
Satisfied","Moderately
Satisfied",,"The session seemed a bit confused and not well facilitated. Presenters seemed to know their subject matter, but did not present in confidently/clearly. ",,,,"Completely
Satisfied","Completely
Satisfied",The reading provided to be undertaken last night prepared us well for the discussion.,,"Completely
Satisfied","Completely
Satisfied",A good activity working on the data and creating charts. Good information in the delivery by Penny and Kathy.,,,,,,"Completely
Satisfied","Completely
Satisfied","Hard work creating the coherence story, but a very helpful process to clarify our think and learning.",,Somewhat,Somewhat,Very Well,Somewhat,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Strongly Agree
2019-01-22 05:57:29,2019-01-22 06:05:56,IP Address,1.136.108.91,100,507,True,2019-01-22 06:05:57,R_1i1W2Ff6QHt9BQx,,,,,-37.7908935546875,145.093902587890625,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied","It was great to hear about how another school implemented the program. ","If you could provide us with copies of the presentations to make notes on. This will save us from takinf continual photos of the presentation. Missing important slides, trying to record the information etc. ",I found the video to be somewhat helpful,"Moderately
Satisfied","Moderately
Satisfied",I liked the visual diagram (rectangle) to spotlight data and assessment.,"Again, provide us with copies of the slides/diagrams. ","Completely
Satisfied","It was a terrific opportunity to work together. The connection protocol was effective and allowed everyone to have their voice heard. ","An opportunity to practise the protocols within our teams. ",,,,,"Moderately
Satisfied","Moderately
Satisfied","It was good to place us in cognitive conflict over data and to make us think. ","More time to discuss. ","Moderately
Satisfied","Moderately
Satisfied","Great discussion. ","More time to complete/discuss. ",,,,,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat Agree,Somewhat Agree
2019-01-22 05:57:12,2019-01-22 06:06:16,IP Address,202.45.119.143,100,543,True,2019-01-22 06:06:17,R_3GjlOQ2rYles4tb,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","there was a mix of activities - oral, visual, time to think, share etc",NIL,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",A range of challenges to be considered and worked through individually and with others,NIL,"Completely
Satisfied",Time to discuss issues in details and develop and effect plan,More time devoted to this,,,,,"Completely
Satisfied","Completely
Satisfied",Opportunity to look at data with colleagues and think ab out key messages and ways of presenting the data,I couldn't see the benefit of using the data of a participating school.  unnecessarily confronting for this school,"Completely
Satisfied","Completely
Satisfied",All elements,NIL,,,,,Very Well,Somewhat,Very Well,Somewhat,Somewhat,Very Well,Very Well,Somewhat,Very Well,Somewhat,Somewhat,Very Well,Somewhat Agree,Strongly Agree
2019-01-22 05:57:57,2019-01-22 06:06:17,IP Address,202.45.119.143,100,499,True,2019-01-22 06:06:17,R_yrPZjjNkX5GQQuJ,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,,,It was very helpful to hear about what our fellow schools are doing and how they distributed leadership and released control to others,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",This was fantastic!!! Helped with clarification,"Would like more examples of this ","Completely
Satisfied",Given time to work together was useful and helped with understanding what we're already doing back at school and what needs further work,,,,,,"Completely
Satisfied","Completely
Satisfied","Thank you Windemere for sharing your data!!! 

Was great to work with others to analyse data",,"Completely
Satisfied","Completely
Satisfied","This was great! 
We did some great work in this session and have direction of where we're going and where we want to go. It was a great opportunity to have this time",,,,,,Somewhat,Very Well,Very Well,Somewhat,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:57:52,2019-01-22 06:06:37,IP Address,60.241.29.66,100,524,True,2019-01-22 06:06:37,R_26lmYCxDPjsCt3W,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Liked hearing from the Australian educators about how they introduced the process in their setting.,,I did not find the video to be helpful,"Completely
Satisfied","Completely
Satisfied",Clear explanation of the step. Good team activity.,More time for the team task. Technology issues were annoying but understandable!,"Completely
Satisfied",Adapted to frustrations with missing data. Collaborated well.,Had our data in advance.,,,,,"Completely
Satisfied","Completely
Satisfied",Team task good. Very positive and interesting to see the whole range of stories that you can draw from data.,Longer to see other people's work and review all of the finished charts.,"Completely
Satisfied","Completely
Satisfied","My team were great, we collaborated well and adapted to frustrations well by following the norms.",Longer to work on the graphs.,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Somewhat,Somewhat,Very Well,Strongly Agree,Strongly Agree
2019-01-22 06:02:40,2019-01-22 06:07:20,IP Address,60.241.29.66,100,279,True,2019-01-22 06:07:20,R_300gDitdbHc2itz,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Adaptive and technical challenges - I found very interesting,Nothing in particular,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",The importance of multiple data sources to create  a data overview,,"Completely
Satisfied",I enjoyed the practice time,,,,,,"Completely
Satisfied","Completely
Satisfied",The opportunity to create a graph to tell a story,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Strongly Agree
2019-01-22 05:51:19,2019-01-22 06:07:26,IP Address,1.152.104.67,100,967,True,2019-01-22 06:07:27,R_WkV9oEw0dGdirrH,,,,,-37.898101806640625,145.088409423828125,anonymous,EN,Participant,School Team,"Completely
Satisfied","Moderately
Satisfied","Well organised and valuable again. ",Maybe not so many i statements from Penny,I found the video to be somewhat helpful,,,na,na,"Completely
Satisfied","Collaboration, Norms were followed a lot more effectively. Growth
Duncan and Jorge present effectively and support all learners with enthusiasm. ",No I really enjoyed it,,,,,"Completely
Satisfied","Completely
Satisfied","Norms working well. Steps becoming clearer
",all good,"Completely
Satisfied","Completely
Satisfied","collaborative, inquiry based. ",,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:57:01,2019-01-22 06:07:33,IP Address,60.241.29.66,100,631,True,2019-01-22 06:07:34,R_2wH7RvSfVIPQgU6,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,Neutral,Neutral,Sorry didn't read that we started at 8 am and arrived as this session was finishing.,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied","Time to talk with others to make sense of the data, having to do something with it and then getting up and moving.",,"Completely
Satisfied","Starting with a quick reflection of the data literacy session to consolidate my thoughts.
Time to work with the school team to work out what it means for us and what we need to do back at school.",,,,,,"Completely
Satisfied","Completely
Satisfied","Whilst some found this overwhelming, I liked having a range of data in numerical form so that I could try to find trends and areas of disparrity.",,"Completely
Satisfied","Completely
Satisfied","We had a really in depth discussion about what data we have and what we need, how we can collect it, where we need to look for alternatives and what we need to do to have something for the presentation.
Duncan was really supportive and worked with us to make sense of what we have and were we are going.",We don't have a lot of data for what we need to work on so this is becoming a challenge.,,,,,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 05:57:38,2019-01-22 06:07:49,IP Address,60.241.29.66,100,610,True,2019-01-22 06:07:49,R_3qeXAPeAMC9pAAZ,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,"This session went very quickly. I would have liked to have maybe done a little bit more before morning tea as the next session was full on. ",I did not find the video to be helpful,"Moderately
Satisfied","Moderately
Satisfied","It worked well to review the data alone, with a partner and then in groups. Displaying our thinking on butcher paper and then a gallery walk was good. ",,"Completely
Satisfied","We adapted and collaborated well as we lacked the data needed. Everyone in our team was super supportive and kind. ","It would have been helpful if we had the data prior to the session. ",,,,,"Moderately
Dissatisfied","Moderately
Dissatisfied",,"This session was very overwhelming and uncomfortable. Being presented with a huge amount of data and asked to interpret it, create a story and graph was difficult. There was some confusion regarding the task within our group. ","Completely
Satisfied","Moderately
Satisfied","We worked well together. ","We needed more time to create our graph/s on Excel and to do slides 4 and 5 of our presentation. ",,,,,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,Somewhat,Somewhat,Very Well,Neutral,Neutral
2019-01-22 05:56:04,2019-01-22 06:07:54,IP Address,60.241.29.66,100,709,True,2019-01-22 06:07:55,R_yw2R8SdxIuzaxC9,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Focused on big picture and where heading for the week.
Always nice to start with a celebration.",,I found the video to be somewhat helpful,"Completely
Satisfied","Moderately
Satisfied",Examples of data presented and the learning activities provided more opportunities to converse with colleagues.,More detailed responses as to why each of the responses on the survey questions were examples of validity / reliability or measurement error.,"Moderately
Satisfied",Rigorous discussions with team.,More time to prepare for the meeting. There was some misunderstanding of what data to focus on as a starting point.,,,,,"Completely
Satisfied","Completely
Satisfied",Opportunity to see how different groups could interpret the data.,"It would be good if the instructions and times could be on the board, with maybe a finishing time for the activity. I got lost as to which 10 minutes was being counted on the board and lost track of time.","Completely
Satisfied","Moderately
Satisfied",Collaborative work,"More time to complete the work.
Need a week between meetings to complete work.",,,,,Very Well,Very Well,Very Well,Somewhat,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 05:57:09,2019-01-22 06:08:03,IP Address,202.45.119.143,100,653,True,2019-01-22 06:08:03,R_1kLj7BOst9QaxnK,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,System Team,"Completely
Satisfied","Completely
Satisfied",Responded to feedback!,"Too much homework considering we finish at 530pm and start at 8am. 
Also completely unaware of the task. ",I did not watch the video,"Completely
Dissatisfied","Completely
Dissatisfied",,"The confidence of the presenters. The coherence of the content/message was unclear. ",,,,"Completely
Satisfied","Completely
Satisfied","Discussing he linke between PGCP and our context. ","More time in our team. ","Completely
Satisfied","Completely
Satisfied",Having someone else look at our work.,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 06:03:25,2019-01-22 06:08:44,IP Address,202.45.119.143,100,318,True,2019-01-22 06:08:44,R_1DA13pxBP1NGTJK,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",I really liked seeing the reflection of positives and deltas discussed at the start of the day. I also really like the discussion around adaptive and technical challenges :),Nothing :),I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied","For an area of the swish that I thought might be a bit boring, it was really well presented! Very engaging, hands on and good group work!",Nothing :),"Completely
Satisfied","We made a graph, I think this was a powerful way to interpret a lot of data!",nothing :),,,,,"Completely
Satisfied","Completely
Satisfied",As above :),"Nothing ","Completely
Satisfied","Completely
Satisfied","We worked well and heard each others' point of view. We used the norms. ",-,,,,,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:56:13,2019-01-22 06:09:41,IP Address,60.241.29.66,100,808,True,2019-01-22 06:09:42,R_ZdXXl7239XRnTDr,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",It is always good to hear real life stories,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",Time to discuss my ideas with collegues,,"Completely
Satisfied",We were able to talk with Duncan about some of our challenges and concerns and by guided by his own journey,,,,,,"Completely
Satisfied","Completely
Satisfied",I enjoyed the challenge of this - I felt that we worked well as a team given the time constraints and the huge amount of data we were working with,,"Completely
Satisfied","Completely
Satisfied",It took us a while to get started in the afternoon - we kind of lost our way a bit - but were able to get back on track and generate ideas and are very pleased to have some time tonight to continue - no homework! Yay,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 06:03:32,2019-01-22 06:09:55,IP Address,60.241.29.66,100,382,True,2019-01-22 06:09:55,R_yF8sg74zDS3uMsp,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Adaptive v Technical concept very useful,leave air conditioning as it was on Monday,I did not watch the video,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied",Great to progress our Datawise processes as a school team. Greatly appreciate this opportunity,,,,,,"Moderately
Satisfied","Completely
Satisfied",Gave good insights which will be useful when working back at school,,"Completely
Satisfied","Completely
Satisfied",Very useful in preparing us to work with colleagues when we return to school,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:55:55,2019-01-22 06:10:03,IP Address,60.241.29.66,100,848,True,2019-01-22 06:10:03,R_2PtEOE05WxMMj5v,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Effective balance of theory with lived experience and continuing connections with 'purpose' (and equity). I liked the metaphor (adaptive and technical challenges). Useful tips re 'bringing it home'. ","Nothing. ",I found the video to be somewhat helpful,"Moderately
Satisfied","Moderately
Satisfied",Opportunity to discuss examples,"Would have appreciated a little more explicit instruction (or guidance) around why 'all of the answers could be justified (in the multiple choice google form). A few people seemed puzzled after this activity. The difference between validity, reliability and measurement error perhaps could be explained further, taking into consideration the newness of these terms to some individuals. ","Completely
Satisfied",Important ‘wonderings’ and questions posed by all team members. Robust discussion. Teaching Fellow provided good support.,"Perhaps a little more time. We needed to have the data sets ready to go. ",,,,,"Completely
Satisfied","Completely
Satisfied","Undertaking the example and listening to the experience from Windermere ",more time to do the gallery walk,"Completely
Satisfied","Completely
Satisfied","the constant opportunities to review learnings and compare with colleagues
the objectives (in the rolling agenda) gave us a clear focus and kept us moving",Nothing,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Somewhat Agree,Strongly Agree
